,date,count_commits,count_issues,count_pulls,price
523,2012-05-26,1751,398,721,5.15
524,2012-05-27,1752,398,721,5.1
525,2012-05-28,1755,398,723,5.14
526,2012-05-29,1756,399,725,5.14
527,2012-05-30,1757,399,727,5.15
528,2012-05-31,1762,403,731,5.14
529,2012-06-01,1762,403,732,5.18
530,2012-06-02,1766,404,734,5.27
531,2012-06-03,1767,405,736,5.25
532,2012-06-04,1775,405,739,5.21
533,2012-06-05,1778,408,742,5.27
534,2012-06-06,1778,408,742,5.44
535,2012-06-07,1780,409,742,5.46
536,2012-06-08,1783,410,742,5.59
537,2012-06-09,1784,411,744,5.63
538,2012-06-10,1784,411,744,5.56
539,2012-06-11,1785,411,746,5.47
540,2012-06-12,1792,412,749,5.57
541,2012-06-13,1799,416,753,5.7
542,2012-06-14,1811,422,759,5.93
543,2012-06-15,1815,423,761,5.95
544,2012-06-16,1815,423,761,6.5
545,2012-06-17,1821,424,763,6.4
546,2012-06-18,1830,425,767,6.16
547,2012-06-19,1833,425,769,6.31
548,2012-06-20,1837,427,773,6.5
549,2012-06-21,1840,427,778,6.67
550,2012-06-22,1849,430,781,6.68
551,2012-06-23,1849,433,782,6.55
552,2012-06-24,1855,434,789,6.43
553,2012-06-25,1860,434,791,6.35
554,2012-06-26,1860,436,791,6.3
555,2012-06-27,1867,437,794,6.42
556,2012-06-28,1873,439,795,6.65
557,2012-06-29,1874,441,799,6.61
558,2012-06-30,1877,442,803,6.65
559,2012-07-01,1879,443,804,6.69
560,2012-07-02,1883,444,807,6.63
561,2012-07-03,1884,445,810,6.76
562,2012-07-04,1887,446,813,6.45
563,2012-07-05,1894,449,815,6.51
564,2012-07-06,1896,449,817,6.67
565,2012-07-07,1904,449,819,6.65
566,2012-07-08,1905,451,820,6.76
567,2012-07-09,1906,452,822,6.8
568,2012-07-10,1907,453,825,7.02
569,2012-07-11,1916,455,830,7.2
570,2012-07-12,1920,456,833,7.15
571,2012-07-13,1925,456,839,7.76
572,2012-07-14,1928,456,839,7.67
573,2012-07-15,1928,456,839,7.54
574,2012-07-16,1934,460,839,7.62
575,2012-07-17,1942,461,841,8.5
576,2012-07-18,1949,461,845,8.8
577,2012-07-19,1950,461,847,9.11
578,2012-07-20,1950,462,848,8.87
579,2012-07-21,1950,463,851,8.52
580,2012-07-22,1952,463,853,8.85
581,2012-07-23,1955,466,855,8.41
582,2012-07-24,1956,467,855,8.45
583,2012-07-25,1958,467,855,8.6
584,2012-07-26,1968,467,860,8.8
585,2012-07-27,1970,467,862,8.9
586,2012-07-28,1971,467,862,8.9
587,2012-07-29,1971,467,862,8.89
588,2012-07-30,1971,467,862,8.71
589,2012-07-31,1971,467,863,9.1
590,2012-08-01,1976,468,867,9.35
591,2012-08-02,1978,468,870,9.55
592,2012-08-03,1980,468,870,10.53
593,2012-08-04,1980,468,870,10.97
594,2012-08-05,1980,468,870,10.98
595,2012-08-06,1981,472,871,10.87
596,2012-08-07,1988,473,872,10.86
597,2012-08-08,1988,475,872,11.1
598,2012-08-09,1990,478,872,11.06
599,2012-08-10,1990,478,872,11.06
600,2012-08-11,1990,478,872,11.39
601,2012-08-12,1991,479,872,11.51
602,2012-08-13,1993,480,875,11.62
603,2012-08-14,1995,481,877,12.04
604,2012-08-15,1995,481,877,12.19
605,2012-08-16,1995,482,878,13.25
606,2012-08-17,2000,483,881,13.5
607,2012-08-18,2001,483,882,11.58
608,2012-08-19,2001,483,882,11.61
609,2012-08-20,2011,484,885,8.0
610,2012-08-21,2017,486,891,10.1
611,2012-08-22,2025,487,894,9.92
612,2012-08-23,2041,491,901,9.81
613,2012-08-24,2048,496,906,10.1
614,2012-08-25,2053,496,907,10.6
615,2012-08-26,2054,497,908,10.52
616,2012-08-27,2064,498,911,10.61
617,2012-08-28,2070,502,921,10.95
618,2012-08-29,2082,504,925,10.94
619,2012-08-30,2084,505,929,10.92
620,2012-08-31,2086,509,932,10.78
621,2012-09-01,2091,510,935,10.16
622,2012-09-02,2094,512,935,9.97
623,2012-09-03,2097,512,941,10.2
624,2012-09-04,2097,513,943,10.53
625,2012-09-05,2102,514,947,10.38
626,2012-09-06,2109,514,948,11.0
627,2012-09-07,2114,515,950,11.18
628,2012-09-08,2119,516,952,11.0
629,2012-09-09,2126,518,958,11.04
630,2012-09-10,2129,519,962,11.02
631,2012-09-11,2131,520,962,11.17
632,2012-09-12,2135,521,964,11.33
633,2012-09-13,2135,521,964,11.36
634,2012-09-14,2135,521,964,11.4
635,2012-09-15,2137,521,965,11.67
636,2012-09-16,2137,521,965,11.75
637,2012-09-17,2138,521,966,11.87
638,2012-09-18,2144,523,968,11.89
639,2012-09-19,2144,523,968,12.25
640,2012-09-20,2147,526,968,12.57
641,2012-09-21,2153,530,971,12.28
642,2012-09-22,2159,531,977,12.37
